ST10CRI_0450	J15_L2_R1_001_ok5hLluyZJb7.fastq.gz	J15_L2_R2_001_vy8OtRPIbCWS.fastq.gz
ST95CH_3B2a	J16_L2_R1_001_TahpixchVTP9.fastq.gz	J16_L2_R2_001_DYOkXPtmCgTC.fastq.gz
ST16ALG_Biog_Alg74	J17_L2_R1_001_c4pYiOE07wUt.fastq.gz	J17_L2_R2_001_Xcv3bkfQqIzx.fastq.gz
ST93IND_28a1	J18_L2_R1_001_UyzjIXElG7JB.fastq.gz	J18_L2_R2_001_hcetHgQRptKj.fastq.gz
ST95CH_5A1a	J19_L2_R1_001_q1gqYES3dNzz.fastq.gz	J19_L2_R2_001_KM6vAhCkqKI4.fastq.gz
ST16CH_3K8	J2_L2_R1_001_ztaQOUJuaSOC.fastq.gz	J2_L2_R2_001_i2Qa0nMpmLIx.fastq.gz
ST08TN_26_5_4	J20_L2_R1_001_i1pKQSjxny8j.fastq.gz	J20_L2_R2_001_mYgc1nvC64I2.fastq.gz
ST94KE_MI1a	J21_L2_R1_001_JwcsSHkdN2ee.fastq.gz	J21_L2_R2_001_n67Qvojknc8f.fastq.gz
ST16CH_1Q10	J22_L2_R1_001_4ys0SrEyHQmI.fastq.gz	J22_L2_R2_001_jmy7OMT0kZHi.fastq.gz
ST16CH_1Q24	J23_L2_R1_001_OZ0D1RUFYKFo.fastq.gz	J23_L2_R2_001_e8ALXMXsJRrn.fastq.gz
ST16CH_2G10	J24_L2_R1_001_KuMNh3cTo0It.fastq.gz	J24_L2_R2_001_z8LCRyjV9h6b.fastq.gz
ST16CH_2G34	J25_L2_R1_001_CT2pWstZUJsk.fastq.gz	J25_L2_R2_001_AA3CslKoxX5S.fastq.gz
ST16CH_2G4	J26_L2_R1_001_xN0blRVEqbL4.fastq.gz	J26_L2_R2_001_Vab5UlmH0OOl.fastq.gz
ST16CH_3N27	J27_L2_R1_001_oe38Ce1xXFNO.fastq.gz	J27_L2_R2_001_H5yo5XBO5Gwr.fastq.gz
ST10CRI_0616	J28_L2_R1_001_k1QAOcdIGWeZ.fastq.gz	J28_L2_R2_001_aDy00rEG6jyC.fastq.gz
ST00ARG_BD1D1a1	J29_L2_R1_001_rgJh06M8tnao.fastq.gz	J29_L2_R2_001_mGKk3GeIrcll.fastq.gz
ST14UK_Biog_TMW07D8	J3_L2_R1_001_SYvK9122ubRq.fastq.gz	J3_L2_R2_001_j0mclevs5KQD.fastq.gz
ST92YE_4	J30_L2_R1_001_wlBoeaGsrX7R.fastq.gz	J30_L2_R2_001_cOl7DK2NcU8T.fastq.gz
ST95UR_EC2_2	J31_L2_R1_001_Sl6YhVC4Nkv8.fastq.gz	J31_L2_R2_001_WP8gWMS3KSjR.fastq.gz
ST93IND_11a2	J32_L2_R1_001_Xk8GLO6qWflK.fastq.gz	J32_L2_R2_001_foGkmTePIQDk.fastq.gz
ST94KE_MF1a	J33_L2_R1_001_2pBFdmqR0knR.fastq.gz	J33_L2_R2_001_5vUb6p2vURIs.fastq.gz
ST16CH_1P7_2	J35_L2_R1_001_o0XGuy9WtBZZ.fastq.gz	J35_L2_R2_001_yQL8qyANs2a1.fastq.gz
ST16CH_2U14_2	J36_L2_R1_001_qWdQ6LmimeJJ.fastq.gz	J36_L2_R2_001_cToz8jPPGOZW.fastq.gz
ST16CH_3L2	J37_L2_R1_001_3HJo6mnxYHmx.fastq.gz	J37_L2_R2_001_P4n9E8GvjZIi.fastq.gz
ST16CH_3L27	J38_L2_R1_001_KdhvSIBNhr0K.fastq.gz	J38_L2_R2_001_gwXtxGGjOicT.fastq.gz
ST16CH_1P56_2	J39_L2_R1_001_5mP6CAQABDIH.fastq.gz	J39_L2_R2_001_jLNG3hEXYWuf.fastq.gz
ST16FR_Biog_FR1	J4_L2_R1_001_p3f475u4UuVq.fastq.gz	J4_L2_R2_001_lSoEPPQLwJpb.fastq.gz
ST16CH_1R15_2	J40_L2_R1_001_E7BdeFfPuFJ5.fastq.gz	J40_L2_R2_001_CzixeyMh6AHp.fastq.gz
ST16FR_Biog_FR31	J5_L2_R1_001_ZCea0Uhj6DB6.fastq.gz	J5_L2_R2_001_RQAI8iVuyfPO.fastq.gz
ST16IRE_Biog_IR1	J6_L2_R1_001_ISQELrYFiqMu.fastq.gz	J6_L2_R2_001_G0DXvaN2Aw0D.fastq.gz
ST17ISR_Biog_ISR35	J7_L2_R1_001_Ok9xagoydDns.fastq.gz	J7_L2_R2_001_xkQA4gXXmmSn.fastq.gz
ST16KA_Biog_K1	J8_L2_R1_001_R9SBhwtkIIBB.fastq.gz	J8_L2_R2_001_EAKJ5mfIrGmt.fastq.gz
ST92UK_XB16_1	J9_L2_R1_001_18ku2CAeFgfk.fastq.gz	J9_L2_R2_001_j2kKKZcCX6h0.fastq.gz
