ST16CH_1D8_2	F30_L1_R1_001_m5v1BkotibyU.fastq.gz	F30_L1_R2_001_oAhio8Y1g4Q9.fastq.gz
ST16CH_1D15	E1_L1_R1_001_5ZKToZiPBVZW.fastq.gz	E1_L1_R2_001_ezG9vSa1xTJp.fastq.gz
ST16CH_1D15_2	F31_L1_R1_001_JmcJgeNDnID2.fastq.gz	F31_L1_R2_001_TWioXbaLgVbz.fastq.gz
ST16CH_1E52	D12_L1_R1_001_OynX41sEML7o.fastq.gz	D12_L1_R2_001_DA4So0RCf8KD.fastq.gz
ST16CH_1E52_2	F32_L1_R1_001_ZBZfBSkOmhb8.fastq.gz	F32_L1_R2_001_6uV9N2M4FWSW.fastq.gz
ST16CH_3V10	F33_L1_R1_001_OErDVA4bRykW.fastq.gz	F33_L1_R2_001_Xvl5K7GItd6A.fastq.gz
ST16CH_3I5	F36_L1_R1_001_yMs7ox8zxHC4.fastq.gz	F36_L1_R2_001_fyie0zuOgfPx.fastq.gz
ST16CH_3I5_2	F34_L1_R1_001_0k6mL9xdTJVN.fastq.gz	F34_L1_R2_001_OFbyLFoTwzle.fastq.gz
ST16CH_3H49	F35_L1_R1_001_0VFL76hCSYWA.fastq.gz	F35_L1_R2_001_wd4AoT7jtnyT.fastq.gz
ST16CH_3I5	F36_L1_R1_001_yMs7ox8zxHC4.fastq.gz	F36_L1_R2_001_fyie0zuOgfPx.fastq.gz
ST16CH_3A36	F37_L1_R1_001_FFLnmiRnqv4I.fastq.gz	F37_L1_R2_001_FEnvDN93agee.fastq.gz
ST16CH_1O3	F3_L1_R1_001_ivGsWVoOnl0v.fastq.gz	F3_L1_R2_001_Tr3pIzlYEl6u.fastq.gz
ST16CH_1M33	F4_L1_R1_001_poqljR0TgXiS.fastq.gz	F4_L1_R2_001_hbehpeUF4Noz.fastq.gz
ST16CH_1M28	F5_L1_R1_001_4YQkjz0QEQI5.fastq.gz	F5_L1_R2_001_c5wFcx1D1UZS.fastq.gz
ST16CH_1G30	F6_L1_R1_001_bVM1Fahn1m9W.fastq.gz	F6_L1_R2_001_LUSXIPpfDPa2.fastq.gz
ST16CH_1M59	F7_L1_R1_001_TdTi7hOIm7mA.fastq.gz	F7_L1_R2_001_caLUr4LjaT3e.fastq.gz
ST16CH_1N1	F8_L1_R1_001_aAjj3Hl727Ly.fastq.gz	F8_L1_R2_001_Tjfb39c9Osu6.fastq.gz
ST16CH_1N25	F9_L1_R1_001_mohX9QhFLoDV.fastq.gz	F9_L1_R2_001_UjBbH1vEv0KW.fastq.gz
